Review,Length,Recommended,Early Access
literally virtual museum scan statue good enough nice experience play htc vive cosmos,13,1,0
good game good time think bore want play think game suit shame one thing game complete couple hour game need collect toy open new level boss new level new location new style think like game walked couple hour fight buy game go good luck game,45,1,0
love game,2,1,0
well graphic dark original,4,1,0
nice,1,1,0
добро пожаловать семью сынок первом запуске игры несколько перепроверил точно скачал outlast моими друзьями подмечено сходство этих игр кроется разгадка новый концепт игры первого лица заставляет верещать видя анимации пугающие катсценыкогда тебе отрубают руку бросают тарелку останками нервно отсаживаешься компа долго смотришь свои руки это ещё играл vrе одновременно радуясь судьбе сочувствуя отметить прекрасные звуки игре игра заставляет напряжении самого конца этих стуков скрипов нервно врывающегося отца твою ком вообщем soundу отдельный респект конце игры лично наблюдать волосы вставшие дыбом полный спектр настольгиикто проходил игру осторожно спойлер предупредил хочется сказать берёт душу первую очередь атмосфера страх сказал напряжение чувствуешь спокойносначала прикидываешь опасности — которые могут точно которые могут теоретически которые могут вряд чёрт знает это очередь играет руку ключевому элементу resident evil постоянному напряжениюнапряжение — это двигатель остальные элементы являются топливомсначала действием игрока регулярно следует наказание открывает дверь темноты бросается нечто забирается лестнице — сдёргивают сбрасывают вниз одолевает врага поворачивается безжизненному телу спиной — получает удар затылку какойто момент « жёсткая терапия » ослабевает рефлекс выработан поворот угол воспринимаешь засаду необходимость открыть дверь — потенциальную угрозу жизни непрерывно соображаешь та самая основная фишка residenta игра держит просто страхе настоящем дискомфортеда приём новый редкий — вообще стандартный сложно представить настоящий игровой « ужастик » преимущество resident evil игре удаётся выдерживать уровень напряжения стабильно протяжении практически десятка часов кампании ощутимо проседая лишь финалувсё остальное время ногтями процарапывал путь очередной точки сохранения брал небольшой таймаут дать отдых лихорадочно работающему мозгу ненадолго перестать держать голове оставшееся количество патронов « аптечек » всматриваться каждую тень прикидывать пути отступления бывает идеальных игр хочу топить resident evil поэтому минусах буду краток лаконичен удаётся сообразить хочет играиногда сцена подразумевает нужно уносить ноги прятаться — нужно сражаться сражаться нужно последнего патрона патроны тратить нужно необходимо найти локации какойто действующий элемент схватить применитьоднако какойто различимой границы вариантами это сбивает толку стороны всё это хочется прощать хотя вдумчиво выстраивают сцены просто « поставили стены мебель швырнули туда игрока противника » каждая сцена тщательно срежиссирована наверное главный минус это просевший концу финал изза затянутости изза чегото ещё финале именно становишься главным босом второстепенных врагов попросту куча патронов аптечек являешься терминатором которому всё нипочём третий пункт выходит второго именно однообразие второстепенных врагов основная соль плесневиков это неожиданно появление твоя нехватка патронов убийства это пункта соблюдены тебе трудно ними бороться вызывают страх панику игру хватило побольше странных причудливых тварей похожих нефть последнее стоит отметить это бессмертность главных злодеев буквально всем понравится убегать локации огромного дядьки топором который мешает проходить сюжет целом стоит отметить игра действительно получилось хорошая своими дырами неточностями хорошая решать игра потраченных денег определенно стоит,423,1,0
love,1,1,0
one best creative game play long time recommend,8,1,1
anfangen far cry gespielt far cry new dawn spielen geht haupt story far cry vieles schreiben ja spoilern p sage eins einfach hammer spiel p gönnt zockt,27,1,0
top véi música final deixou triste ter matado oa glados verdade ainda pq zerei,14,1,0
